"rank","business_name","telephone","business_page","category","website","street_address","locality","region","zipcode","listing_url"
"19.","Urban Meyer's Pint House","(614) 389-7856","https://www.yellowpages.com/dublin-oh/mip/urban-meyers-pint-house-551300749","Restaurants, American Restaurants, Bars","https://urbanspinthouse.com","6632 Longshore St","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"20.","Fukuryu Ramen","(614) 553-7392","https://www.yellowpages.com/dublin-oh/mip/fukuryu-ramen-541002099","Restaurants, Japanese Restaurants, Take Out Restaurants","http://www.fukuryuramen.com","4540 Bridge Park Ave","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"21.","LaRosa's Pizza Dublin","(888) 527-6727","https://www.yellowpages.com/dublin-oh/mip/larosas-pizza-dublin-503153407","Restaurants, Italian Restaurants, Pizza","https://www.larosas.com/locations/dublin","7048 Hospital Dr","Dublin","OH","43016","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"22.","Ted's Montana Grill","(614) 760-7753","https://www.yellowpages.com/dublin-oh/mip/teds-montana-grill-6743383","Restaurants, American Restaurants","http://www.tedsmontanagrill.com","6195 Sawmill Rd","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"23.","Romano's Macaroni Grill","(614) 792-3676","https://www.yellowpages.com/dublin-oh/mip/romanos-macaroni-grill-482342007","Restaurants, Italian Restaurants","http://www.macaronigrill.com","6115 Parkcenter Cir","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"24.","Our Cupcakery","(614) 659-1555","https://www.yellowpages.com/dublin-oh/mip/our-cupcakery-453080540","Restaurants, American Restaurants, Party & Event Planners","https://www.ourcupcakery.com","16 N High St","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"25.","The Pearl","(614) 695-6255","https://www.yellowpages.com/dublin-oh/mip/the-pearl-554658929","Restaurants, American Restaurants, Seafood Restaurants","https://thepearlrestaurant.com","88 N High St","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"26.","The Avenue Steak Tavern","(614) 591-9000","https://www.yellowpages.com/dublin-oh/mip/the-avenue-steak-tavern-545278957","Restaurants, Steak Houses, American Restaurants","https://theavenuesteaktavern.com/locations-menus/dublin","94 N High St","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"27.","Condado Tacos","(614) 389-0097","https://www.yellowpages.com/dublin-oh/mip/condado-tacos-548450626","Restaurants, Mexican Restaurants, Bars","https://locations.condadotacos.com/oh/102-n-high-st","102 N High St","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"28.","Weenie Wonder","(614) 721-3800","https://www.yellowpages.com/dublin-oh/mip/weenie-wonder-566994181","Restaurants, Take Out Restaurants, American Restaurants","https://www.weeniewonder.com/locations/dublin","6562 Riverside Dr","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"29.","Zee Cucina","(614) 916-9200","https://www.yellowpages.com/dublin-oh/mip/zee-cucina-548473003","Restaurants, Italian Restaurants, Bars","http://www.zcucina.com","6584 Riverside Dr","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
"30.","Rebol","(614) 389-4751","https://www.yellowpages.com/dublin-oh/mip/rebol-550525438","Restaurants, American Restaurants, Health Food Restaurants","http://www.wearerebol.com","6608 Longshore St","Dublin","OH","43017","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Dubai"
